	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
C2H2_ZF_M0393_1.01	-0.0	-0.0	1.98459202989	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.362662301523	-0.0	-0.0	-0.0
C2H2_ZF_M5798_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.07176421842	4.55151994491	-0.0	-0.0	-0.0
C2H2_ZF_M5789_1.01	-0.0	-0.0	0.024649806815	-0.0	1.60772307837	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_185	0.0809641155682	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_181	1.70249351753	1.42102329252	-0.0	-0.0	-0.0	-0.0	0.235480827059	-0.0	-0.0	-0.0	-0.0	3.36996173678	-0.0
C2H2_ZF_M6093_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.05787267442	-0.0	1.57705683046	-0.0	0.183014410013
C2H2_ZF_M6364_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M0402_1.01	-0.0	-0.0	-0.0	-0.0	0.711300932996	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.353376709588	-0.0
C2H2_ZF_M0360_1.01	-0.0	0.78919893529	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_202	2.07145929824	4.66903986311	-0.0	-0.0	1.8333115308	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_184	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.79578377568	-0.0
C2H2_ZF_M0367_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.378925150297	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M1820_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_156	-0.0	-0.0	0.480720176699	-0.0	-0.0	-0.0	-0.0	0.575682694352	-0.0	2.81388607234	-0.0	-0.0	-0.0
C2H2_ZF_M0376_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M6145_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.38692527462	-0.0	0.5788435102	-0.0	-0.0	-0.0	2.71352186612
C2H2_ZF_M5800_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.191866044593	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M0401_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.608385532238	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M0395_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.631785741598	-0.0	0.458177787729	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_122	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.03428382587	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M6372_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M6358_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.888136210617	-0.0	-0.0	-0.0	-0.0	-0.0	1.11287155997
C2H2_ZF_Average_221	-0.0	-0.0	-0.0	-0.0	-0.0	1.22566062728	4.39458336256	1.10204942938	-0.0	-0.0	-0.0	-0.0	8.97521880022
C2H2_ZF_M6142_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	1.01635141967	0.627963157433	1.11465396499	-0.0	-0.0	-0.0	-0.0	4.97829060771
C2H2_ZF_M6144_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_Average_180	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.27017122387	-0.0	-0.0	-0.0	0.024064556555
C2H2_ZF_M6019_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.217566125088	-0.0	-0.0	2.40364337759	0.386894443811	-0.0	-0.0	0.544605388173
C2H2_ZF_Average_216	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.462635319	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M0382_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
C2H2_ZF_M6302_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.58682463512	-0.0	-0.0	-0.0	-0.0	-0.0	1.49874723644
